rank	user	n_sub	pub	prv	auc_pub	auc_prv	f1_pub	f1_prv
1	Diop221	89	0.945619037	0.956900206	0.968886304	0.98385357	0.930107526	0.938931297
2	CalebEmelike	85	0.940157022	0.955035829	0.966414655	0.979746436	0.922651933	0.938562091
3	Anik_Chowdhury	54	0.943060154	0.953819373	0.962489095	0.977331939	0.930107526	0.938144329
4	marching_learning	55	0.962765338	0.953621745	0.981498982	0.982998954	0.950276243	0.934036939
5	rishma	24	0.942551285	0.953450976	0.961216923	0.976410945	0.930107526	0.938144329
6	Ab1	36	0.942071494	0.952213027	0.960017446	0.973316075	0.930107526	0.938144329
7	bipul	39	0.942216886	0.951612307	0.960380924	0.971814274	0.930107526	0.938144329
8	Guelmbaye	86	0.940811282	0.947990265	0.968050305	0.973423939	0.922651933	0.931034482
9	BigZ	100	0.942367202	0.94700103	0.96943152	0.976593485	0.924324324	0.927272727
10	Jisoo	30	0.922151053	0.946981266	0.953729281	0.970627769	0.901098901	0.931216931
11	FaresMallouli	49	0.938480887	0.946127366	0.964088397	0.974693416	0.921409214	0.927083333
12	mourncrow	99	0.947121735	0.945929977	0.966705437	0.965881747	0.934065934	0.932628797
13	Foreist	60	0.940801484	0.945187149	0.957981971	0.977141102	0.929347826	0.923884514
14	lokpatchu	87	0.941853961	0.944901608	0.972521081	0.975241034	0.921409214	0.924675324
15	AC	42	0.935831578	0.944692925	0.95620093	0.972054894	0.92225201	0.926451612
16	devsolver	12	0.945251384	0.944132233	0.972884559	0.975116576	0.926829268	0.923476005
17	GIrum	100	0.932553067	0.944122699	0.955692061	0.970254393	0.917127071	0.92670157
18	medamin_kharrat	60	0.937375682	0.943752764	0.96068988	0.96942052	0.921832884	0.926640926
19	Ashkaji_tg	100	0.945440893	0.943428043	0.966341959	0.975788652	0.931506849	0.921854304
20	Mirandaw	4	0.938395624	0.941632271	0.957691189	0.970938915	0.925531914	0.922094508
21	Dune	48	0.926347712	0.940446457	0.954456237	0.962011085	0.907608695	0.926070038
22	Berry	30	0.917272462	0.940029616	0.95063972	0.969681883	0.895027624	0.920261437
23	AucHigh	4	0.938445284	0.93987107	0.962779877	0.969914206	0.922222222	0.919842312
24	LRZ	100	0.937030175	0.939689224	0.963543181	0.972934402	0.919354838	0.917525773
25	Abdourahamane_	39	0.927993106	0.9394927	0.954129107	0.971299845	0.910569105	0.918287937
26	mohammadkmd	15	0.932730597	0.939202075	0.960635359	0.968877051	0.914127423	0.919418758
27	Loukil	36	0.920500381	0.938783166	0.951657458	0.970669255	0.899728997	0.917525773
28	david	46	0.921794048	0.938234109	0.956891538	0.96364979	0.898395721	0.921290322
29	Siram	3	0.936563696	0.938031268	0.953111369	0.961936409	0.925531914	0.922094508
30	TKrose	4	0.935662271	0.937555007	0.950857807	0.960745755	0.925531914	0.922094508
31	DENGZIYI	32	0.931826112	0.937265878	0.95456528	0.970030367	0.916666666	0.915422885
32	Shankar	84	0.953148454	0.93675096	0.977391683	0.974344932	0.936986301	0.911688311
33	YouAnR	4	0.935923975	0.936590868	0.951512067	0.958335407	0.925531914	0.922094508
34	btToram	4	0.93486496	0.936188251	0.961162401	0.968823119	0.917333333	0.914431673
35	theoZ	37	0.932228808	0.935795559	0.952420761	0.96250477	0.918767507	0.917989417
36	sdv	100	0.927915016	0.93529234	0.951911892	0.967541195	0.911917098	0.913793103
37	Jsonae	4	0.927380536	0.934825256	0.951784675	0.964384095	0.911111111	0.915119363
38	bob_munyenga	100	0.949594903	0.934387942	0.975065425	0.971980219	0.932614555	0.909326424
39	Cyprus	80	0.924788839	0.93430502	0.949767374	0.965624533	0.908136482	0.913425345
40	raj_patil	22	0.919295511	0.933665222	0.949076766	0.964769917	0.89944134	0.912928759
41	imGina	4	0.926937094	0.933393152	0.950676068	0.960803836	0.911111111	0.915119363
42	P_B	23	0.916437636	0.933239053	0.952384414	0.970872537	0.892473118	0.908150064
43	nanDaHuang	78	0.934012405	0.932856721	0.95620093	0.965607938	0.919220055	0.911022576
44	imBardia	4	0.925156053	0.93225009	0.946223466	0.958746121	0.911111111	0.91458607
45	simonMakumi	15	0.914091305	0.93183546	0.935228264	0.950191666	0.9	0.919597989
46	dianaam	4	0.927658706	0.931733096	0.953293108	0.964981497	0.910569105	0.909567496
47	Solonian	4	0.916946382	0.931383065	0.951766501	0.964462919	0.89373297	0.909329829
48	AhmedTambal	29	0.918578106	0.931349077	0.953038674	0.962230961	0.895604395	0.910761154
49	pmaurente	39	0.928559046	0.93109089	0.945023989	0.945570103	0.917582417	0.921438082
51	archP	100	0.938569445	0.93087834	0.959326839	0.968777484	0.924731182	0.905612244
52	Janice	35	0.926923957	0.930477353	0.944969467	0.961517399	0.914893617	0.909783989
53	eyadhjarray111	49	0.927627154	0.930214929	0.957654841	0.965433696	0.907608695	0.906735751
54	biot	4	0.933950384	0.930143874	0.954710671	0.963882112	0.920110192	0.907651715
55	iam-dante	99	0.916820246	0.929379269	0.947223029	0.967126333	0.896551724	0.904214559
56	tw_zent	77	0.913242253	0.929353559	0.93969904	0.949038349	0.895604395	0.916230366
57	santosh15	99	0.914880701	0.928612126	0.93960817	0.95577156	0.898395721	0.910505836
58	statcrafter	86	0.923805175	0.928217452	0.949512939	0.964326015	0.906666666	0.904145077
59	heoshua.com	46	0.913661917	0.927937747	0.950821459	0.966321501	0.888888888	0.902348578
60	zzzxa	4	0.920929768	0.92732945	0.950676068	0.960803836	0.901098901	0.905013192
61	Mutombwa	35	0.90776238	0.925903916	0.924578365	0.952514893	0.896551724	0.908163265
62	eram	4	0.917526819	0.925732081	0.946223466	0.958746121	0.898395721	0.903722721
63	GOLDEQUIP	97	0.906585587	0.925223115	0.935755306	0.958580176	0.887139107	0.902985074
64	saloniam	3	0.913600963	0.925058712	0.946859552	0.965292643	0.891428571	0.898236092
65	MosCraciunXXX	82	0.923267266	0.924790066	0.953329456	0.957136456	0.903225806	0.903225806
66	algernon	92	0.931523635	0.924700884	0.967396045	0.970063556	0.907608695	0.894459102
67	Brainiac	10	0.896583309	0.92448623	0.932066007	0.956124193	0.872928176	0.903394255
68	mwarsssss	26	0.915297748	0.923608443	0.932629398	0.950013275	0.903743315	0.906005221
69	lann_niv	76	0.924169244	0.923547512	0.949767374	0.956920728	0.907103825	0.901298701
70	MISOKIM	28	0.92123181	0.923369622	0.95096685	0.970088448	0.90140845	0.892223738
71	lesleygrin	5	0.8941388	0.922946034	0.927013666	0.947312523	0.872222222	0.906701708
72	MOHAR	53	0.910124567	0.922816238	0.952893282	0.96930021	0.88161209	0.891826923
73	KackJon	4	0.911430163	0.922759826	0.945242076	0.956505866	0.888888888	0.900262467
74	ImSaloon	5	0.904577806	0.922044702	0.946059901	0.958248286	0.876923076	0.897908979
75	Nayal_17	33	0.892637446	0.9217167	0.931866094	0.95180133	0.866485013	0.90166028
120	forge_US	91	0.910446704	0.910686008	0.946387031	0.950158477	0.886486486	0.884371029
